,Player,Points,Games
319,Billy Knight,929.1538461538462,82.0
320,Billy McKinney,515.6666666666666,84.0
321,Billy Owens,586.2857142857143,80.0
322,Billy Paultz,494.15384615384613,84.0
323,Billy Ray,386.6666666666667,77.0
324,Billy Reid,190.0,59.0
325,Billy Thomas,31.6,25.0
326,Billy Thompson,427.6666666666667,79.0
327,Bimbo Coles,426.3333333333333,82.0
328,Bingo Smith,905.7692307692307,82.0
329,Bird Averitt,395.25,75.0
330,Bismack Biyombo,362.6666666666667,82.0
331,Bison Dele,567.0,80.0
332,Blackie Towery,597.0,68.0
333,Blaine Denning,5.0,1.0
334,Blair Rasmussen,639.875,81.0
335,Blake Ahearn,29.333333333333332,12.0
336,Blake Griffin,1445.2857142857142,82.0
337,Blue Edwards,670.3333333333334,82.0
338,Bo Ellis,204.33333333333334,78.0
339,Bo Erias,148.0,18.0
340,Bo Kimble,191.33333333333334,62.0
341,Bo Lamar,502.0,71.0
342,Bo Outlaw,314.47058823529414,83.0
343,Bob Allen,48.0,27.0
344,Bob Anderegg,133.0,33.0
345,Bob Armstrong,28.0,19.0
346,Bob Arnzen,301.0,55.0
347,Bob Bigelow,40.333333333333336,31.0
348,Bob Boozer,1090.1538461538462,82.0
349,Bob Brannum,491.0,71.0
350,Bob Brown,724.0,62.0
351,Bob Burrow,229.5,67.0
352,Bob Carney,69.0,19.0
353,Bob Carpenter,315.0,66.0
354,Bob Carrington,327.0,72.0
355,Bob Christian,235.5,81.0
356,Bob Cousy*,1211.4285714285713,76.0
357,Bob Dandridge,1194.6153846153845,81.0
358,Bob Davies*,948.3333333333334,72.0
359,Bob Davis,16.0,9.0
360,Bob Doll,315.0,47.0
361,Bob Donham,454.5,71.0
362,Bob Duffy,105.33333333333333,48.0
363,Bob Elliott,326.6666666666667,73.0
364,Bob Evans,142.0,47.0
365,Bob Feerick,483.0,60.0
366,Bob Ferry,578.0,80.0
367,Bob Greacen,55.5,41.0
368,Bob Gross,570.875,82.0
369,Bob Hansen,375.0,82.0
370,Bob Harris,355.85714285714283,71.0
371,Bob Harrison,436.3636363636364,72.0
372,Bob Hogsett,16.0,7.0
373,Bob Hopkins,559.25,75.0
374,Bob Houbregs*,459.85714285714283,70.0
375,Bob Kauffman,864.1428571428571,82.0
376,Bob Kinney,667.0,60.0
377,Bob Knight,7.0,2.0
378,Bob Lanier*,1278.625,82.0
379,Bob Lavoy,420.0,70.0
380,Bob Lochmueller,232.0,62.0
381,Bob Love,913.4375,82.0
382,Bob Martin,56.5,53.0
383,Bob McAdoo*,1115.0,82.0
384,Bob McCann,147.8,79.0
385,Bob McNeill,178.25,75.0
386,Bob Miller,4.0,2.0
387,Bob Naber,1.0,4.0
388,Bob Nash,259.0,82.0
389,Bob Peterson,98.8,58.0
390,Bob Pettit*,1898.1818181818182,80.0
391,Bob Portman,313.5,68.0
392,Bob Priddy,36.0,16.0
393,Bob Quick,166.16666666666666,56.0
394,Bob Riley,13.0,7.0
395,Bob Royer,197.0,42.0
396,Bob Rule,691.25,82.0
397,Bob Santini,11.0,4.0
398,Bob Schafer,124.25,54.0
399,Bob Sims,339.3333333333333,65.0
400,Bob Sura,520.8333333333334,82.0
401,Bob Thornton,100.8,71.0
402,Bob Tough,75.33333333333333,29.0
403,Bob Verga,104.0,21.0
404,Bob Warlick,282.8333333333333,69.0
405,Bob Weiss,463.92857142857144,82.0
406,Bob Wiesenhahn,119.0,60.0
407,Bob Wilkerson,774.8571428571429,81.0
